STA,X,Y,Z,Ptime,Stime,Rtime
0.0,0,0,0.0,0.0,0.0,0.0
1.015,0,0,1.015,0.0,0.0,0.0
2.03,0,0,2.03,0.0,0.0,0.0
3.045,0,0,3.045,0.0,0.0,0.0
4.06,0,0,4.06,0.0,0.0,0.0
5.074999999999999,0,0,5.074999999999999,0.0,0.0,0.0
6.09,0,0,6.09,0.0,0.0,0.0
7.105,0,0,7.105,0.0,0.0,0.0
8.12,0,0,8.12,0.0,0.0,0.0
9.135,0,0,9.135,0.0,0.0,0.0
10.15,0,0,10.15,0.0,0.0,0.0
11.165,0,0,11.165,0.0,0.0,0.0
12.18,0,0,12.18,0.0,0.0,0.0
13.195,0,0,13.195,0.0,0.0,0.0
14.21,0,0,14.21,0.0,0.0,0.0
15.224999999999998,0,0,15.224999999999998,0.0,0.0,0.0
16.24,0,0,16.24,0.0,0.0,0.0
17.255,0,0,17.255,0.0,0.0,0.0
18.27,0,0,18.27,0.0,0.0,0.0
19.285,0,0,19.285,0.0,0.0,0.0
20.3,0,0,20.3,0.0,0.0,0.0
21.315,0,0,21.315,0.0,0.0,0.0
22.33,0,0,22.33,0.0,0.0,0.0
23.345,0,0,23.345,0.0,0.0,0.0
24.36,0,0,24.36,0.0,0.0,0.0
25.375,0,0,25.375,0.0,0.0,0.0
26.39,0,0,26.39,0.0,0.0,0.0
27.405,0,0,27.405,0.0,0.0,0.0
28.42,0,0,28.42,0.0,0.0,0.0
29.435,0,0,29.435,0.0,0.0,0.0
30.45,0,0,30.45,0.0,0.0,0.0
31.465,0,0,31.465,0.0,0.0,0.0
32.48,0,0,32.48,0.0,0.0,0.0
33.495,0,0,33.495,0.0,0.0,0.0
34.51,0,0,34.51,0.0,0.0,0.0
35.525,0,0,35.525,0.0,0.0,0.0
36.54,0,0,36.54,0.0,0.0,0.0
37.555,0,0,37.555,0.0,0.0,0.0
38.56999999999999,0,0,38.56999999999999,0.0,0.0,0.0
39.585,0,0,39.585,0.0,0.0,0.0
40.6,0,0,40.6,0.0,0.0,0.0
41.615,0,0,41.615,0.0,0.0,0.0
42.63,0,0,42.63,0.0,0.0,0.0
43.645,0,0,43.645,0.0,0.0,0.0
44.66,0,0,44.66,0.0,0.0,0.0
45.675,0,0,45.675,0.0,0.0,0.0
46.69,0,0,46.69,0.0,0.0,0.0
47.705,0,0,47.705,0.0,0.0,0.0
48.72,0,0,48.72,0.0,0.0,0.0
49.73499999999999,0,0,49.73499999999999,0.0,0.0,0.0
50.74999999999999,0,0,50.74999999999999,0.0,0.0,0.0
51.76499999999999,0,0,51.76499999999999,0.0,0.0,0.0
52.78,0,0,52.78,0.0,0.0,0.0
53.795,0,0,53.795,0.0,0.0,0.0
54.81,0,0,54.81,0.0,0.0,0.0
55.825,0,0,55.825,0.0,0.0,0.0
56.84,0,0,56.84,0.0,0.0,0.0
57.855,0,0,57.855,0.0,0.0,0.0
58.87,0,0,58.87,0.0,0.0,0.0
59.88499999999999,0,0,59.88499999999999,0.0,0.0,0.0
60.89999999999999,0,0,60.89999999999999,0.0,0.0,0.0
61.91499999999999,0,0,61.91499999999999,0.0,0.0,0.0
62.92999999999999,0,0,62.92999999999999,0.0,0.0,0.0
63.94499999999999,0,0,63.94499999999999,0.0,0.0,0.0
64.96,0,0,64.96,0.0,0.0,0.0
65.975,0,0,65.975,0.0,0.0,0.0
66.99,0,0,66.99,0.0,0.0,0.0
68.005,0,0,68.005,0.0,0.0,0.0
69.02,0,0,69.02,0.0,0.0,0.0
70.035,0,0,70.035,0.0,0.0,0.0
71.05,0,0,71.05,0.0,0.0,0.0
72.065,0,0,72.065,0.0,0.0,0.0
73.08,0,0,73.08,0.0,0.0,0.0
74.095,0,0,74.095,0.0,0.0,0.0
75.11,0,0,75.11,0.0,0.0,0.0
76.12499999999999,0,0,76.12499999999999,0.0,0.0,0.0
77.13999999999999,0,0,77.13999999999999,0.0,0.0,0.0
78.15499999999999,0,0,78.15499999999999,0.0,0.0,0.0
79.16999999999999,0,0,79.16999999999999,0.0,0.0,0.0
80.18499999999999,0,0,80.18499999999999,0.0,0.0,0.0
81.19999999999999,0,0,81.19999999999999,0.0,0.0,0.0
82.21499999999999,0,0,82.21499999999999,0.0,0.0,0.0
83.22999999999999,0,0,83.22999999999999,0.0,0.0,0.0
84.24499999999999,0,0,84.24499999999999,0.0,0.0,0.0
85.25999999999999,0,0,85.25999999999999,0.0,0.0,0.0
86.27499999999999,0,0,86.27499999999999,0.0,0.0,0.0
87.28999999999999,0,0,87.28999999999999,0.0,0.0,0.0
88.30499999999999,0,0,88.30499999999999,0.0,0.0,0.0
89.32,0,0,89.32,0.0,0.0,0.0
90.335,0,0,90.335,0.0,0.0,0.0
91.35,0,0,91.35,0.0,0.0,0.0
92.365,0,0,92.365,0.0,0.0,0.0
93.38,0,0,93.38,0.0,0.0,0.0
94.395,0,0,94.395,0.0,0.0,0.0
95.41,0,0,95.41,0.0,0.0,0.0
96.425,0,0,96.425,0.0,0.0,0.0
97.44,0,0,97.44,0.0,0.0,0.0
98.45499999999998,0,0,98.45499999999998,0.0,0.0,0.0
99.46999999999998,0,0,99.46999999999998,0.0,0.0,0.0
100.485,0,0,100.485,0.0,0.0,0.0
101.5,0,0,101.5,0.0,0.0,0.0
102.515,0,0,102.515,0.0,0.0,0.0
103.53,0,0,103.53,0.0,0.0,0.0
104.545,0,0,104.545,0.0,0.0,0.0
105.56,0,0,105.56,0.0,0.0,0.0
106.575,0,0,106.575,0.0,0.0,0.0
107.59,0,0,107.59,0.0,0.0,0.0
108.605,0,0,108.605,0.0,0.0,0.0
109.62,0,0,109.62,0.0,0.0,0.0
110.635,0,0,110.635,0.0,0.0,0.0
111.65,0,0,111.65,0.0,0.0,0.0
112.665,0,0,112.665,0.0,0.0,0.0
113.68,0,0,113.68,0.0,0.0,0.0
114.695,0,0,114.695,0.0,0.0,0.0
115.71,0,0,115.71,0.0,0.0,0.0
116.725,0,0,116.725,0.0,0.0,0.0
117.74,0,0,117.74,0.0,0.0,0.0
118.755,0,0,118.755,0.0,0.0,0.0
119.76999999999998,0,0,119.76999999999998,0.0,0.0,0.0
120.78499999999998,0,0,120.78499999999998,0.0,0.0,0.0
121.79999999999998,0,0,121.79999999999998,0.0,0.0,0.0
122.81499999999998,0,0,122.81499999999998,0.0,0.0,0.0
123.82999999999998,0,0,123.82999999999998,0.0,0.0,0.0
124.84499999999998,0,0,124.84499999999998,0.0,0.0,0.0
125.86,0,0,125.86,0.0,0.0,0.0
126.875,0,0,126.875,0.0,0.0,0.0
127.89,0,0,127.89,0.0,0.0,0.0
128.905,0,0,128.905,6.6492,0.0,0.0
129.92,0,0,129.92,6.6492,0.0,0.0
130.93499999999997,0,0,130.93499999999997,6.6493,0.0,0.0
131.95,0,0,131.95,6.6496,0.0,0.0
132.96499999999995,0,0,132.96499999999995,6.6498,0.0,0.0
133.98,0,0,133.98,6.6498,0.0,0.0
134.99499999999998,0,0,134.99499999999998,6.6502,0.0,0.0
136.01,0,0,136.01,6.6502,0.0,0.0
137.02499999999998,0,0,137.02499999999998,6.6504,0.0,0.0
138.04,0,0,138.04,6.650600000000001,0.0,0.0
139.05499999999998,0,0,139.05499999999998,6.6508,0.0,0.0
140.07,0,0,140.07,6.65095,0.0,0.0
141.08499999999998,0,0,141.08499999999998,6.6511,0.0,0.0
142.1,0,0,142.1,6.651249999999999,0.0,0.0
143.11499999999998,0,0,143.11499999999998,6.6514,0.0,0.0
144.13,0,0,144.13,6.65165,0.0,0.0
145.14499999999998,0,0,145.14499999999998,6.6519,0.0,0.0
146.16,0,0,146.16,6.652,0.0,0.0
147.17499999999998,0,0,147.17499999999998,6.6521,0.0,0.0
148.19,0,0,148.19,6.6522,0.0,0.0
149.20499999999998,0,0,149.20499999999998,6.6523,0.0,0.0
150.22,0,0,150.22,6.652466666666667,0.0,0.0
151.235,0,0,151.235,6.652633333333333,0.0,0.0
152.24999999999997,0,0,152.24999999999997,6.6528,0.0,0.0
153.265,0,0,153.265,6.6529,0.0,0.0
154.27999999999997,0,0,154.27999999999997,6.6531,0.0,0.0
155.295,0,0,155.295,6.6533,0.0,0.0
156.30999999999997,0,0,156.30999999999997,6.6535,0.0,0.0
157.325,0,0,157.325,6.654,0.0,0.0
158.33999999999995,0,0,158.33999999999995,6.65415,0.0,0.0
159.355,0,0,159.355,6.6543,0.0,0.0
160.36999999999998,0,0,160.36999999999998,6.6545000000000005,0.0,0.0
161.385,0,0,161.385,6.6547,0.0,0.0
162.39999999999998,0,0,162.39999999999998,6.6549,0.0,0.0
163.415,0,0,163.415,6.6552,0.0,0.0
164.42999999999998,0,0,164.42999999999998,6.65535,0.0,0.0
165.445,0,0,165.445,6.6555,0.0,0.0
166.45999999999998,0,0,166.45999999999998,6.6556,0.0,0.0
167.475,0,0,167.475,6.6556999999999995,0.0,0.0
168.48999999999998,0,0,168.48999999999998,6.6558,0.0,0.0
169.505,0,0,169.505,6.6559,0.0,0.0
170.51999999999998,0,0,170.51999999999998,6.6560500000000005,0.0,0.0
171.535,0,0,171.535,6.6562,0.0,0.0
172.54999999999998,0,0,172.54999999999998,6.65635,0.0,0.0
173.56499999999997,0,0,173.56499999999997,6.6565,0.0,0.0
174.57999999999998,0,0,174.57999999999998,6.656750000000001,0.0,0.0
175.59499999999997,0,0,175.59499999999997,6.657,0.0,0.0
176.61,0,0,176.61,6.657,0.0,0.0
177.62499999999997,0,0,177.62499999999997,6.6574,0.0,0.0
178.64,0,0,178.64,6.657566666666667,0.0,0.0
179.65499999999997,0,0,179.65499999999997,6.657733333333333,0.0,0.0
180.67,0,0,180.67,6.6579,0.0,0.0
181.685,0,0,181.685,6.6582,0.0,0.0
182.7,0,0,182.7,6.6583,0.0,0.0
183.715,0,0,183.715,6.6585,0.0,0.0
184.73,0,0,184.73,6.6587,0.0,0.0
185.745,0,0,185.745,6.6589,0.0,0.0
186.76,0,0,186.76,6.6591,0.0,0.0
187.775,0,0,187.775,6.6592,0.0,0.0
188.79,0,0,188.79,6.6594,0.0,0.0
189.805,0,0,189.805,6.65945,0.0,0.0
190.82,0,0,190.82,6.6595,0.0,0.0
191.835,0,0,191.835,6.6597,0.0,0.0
192.85,0,0,192.85,6.66,0.0,0.0
193.865,0,0,193.865,6.6603,0.0,0.0
194.88,0,0,194.88,6.66045,0.0,0.0
195.895,0,0,195.895,6.6606,0.0,0.0
196.91,0,0,196.91,6.6607,0.0,0.0
197.925,0,0,197.925,6.66095,0.0,0.0
198.94,0,0,198.94,6.6612,0.0,0.0
199.955,0,0,199.955,6.6613,0.0,0.0
200.97,0,0,200.97,6.6615,0.0,0.0
201.985,0,0,201.985,6.6618,0.0,0.0
203.0,0,0,203.0,6.6619,0.0,0.0
204.015,0,0,204.015,6.662050000000001,0.0,0.0
205.03,0,0,205.03,6.6622,0.0,0.0
206.045,0,0,206.045,6.6624,0.0,0.0
207.06,0,0,207.06,6.6625499999999995,0.0,0.0
208.075,0,0,208.075,6.6627,0.0,0.0
209.09,0,0,209.09,6.662850000000001,0.0,0.0
210.105,0,0,210.105,6.663,0.0,0.0
211.12,0,0,211.12,6.66315,0.0,0.0
212.135,0,0,212.135,6.6633,0.0,0.0
213.15,0,0,213.15,6.6634,0.0,0.0
214.165,0,0,214.165,6.6636,0.0,0.0
215.18,0,0,215.18,6.66375,0.0,0.0
216.195,0,0,216.195,6.6639,0.0,0.0
217.21,0,0,217.21,6.664,0.0,0.0
218.225,0,0,218.225,6.6642,0.0,0.0
219.24,0,0,219.24,6.66445,0.0,0.0
220.255,0,0,220.255,6.6647,0.0,0.0
221.27,0,0,221.27,6.6648499999999995,0.0,0.0
222.285,0,0,222.285,6.665,0.0,0.0
223.3,0,0,223.3,6.6652000000000005,0.0,0.0
224.315,0,0,224.315,6.6654,0.0,0.0
225.33,0,0,225.33,6.665566666666667,0.0,0.0
226.345,0,0,226.345,6.665733333333333,0.0,0.0
227.36,0,0,227.36,6.6659,0.0,0.0
228.375,0,0,228.375,6.6662,0.0,0.0
229.39,0,0,229.39,6.6663,0.0,0.0
230.405,0,0,230.405,6.6666,0.0,0.0
231.42,0,0,231.42,6.6666,0.0,0.0
232.435,0,0,232.435,6.6669,0.0,0.0
233.45,0,0,233.45,6.667066666666667,0.0,0.0
234.465,0,0,234.465,6.667233333333333,0.0,0.0
235.48,0,0,235.48,6.6674,0.0,0.0
236.495,0,0,236.495,6.6675,0.0,0.0
237.51,0,0,237.51,6.6678,0.0,0.0
238.525,0,0,238.525,6.668,0.0,0.0
239.54,0,0,239.54,6.6681,0.0,0.0
240.555,0,0,240.555,6.6684,0.0,0.0
241.57,0,0,241.57,6.6686,0.0,0.0
242.585,0,0,242.585,6.6687,0.0,0.0
243.6,0,0,243.6,6.6689,0.0,0.0
244.615,0,0,244.615,6.669,0.0,0.0
245.63,0,0,245.63,6.6692,0.0,0.0
246.645,0,0,246.645,6.6696,0.0,0.0
247.66,0,0,247.66,6.6696,0.0,0.0
248.675,0,0,248.675,6.6699,0.0,0.0
249.69,0,0,249.69,6.67005,0.0,0.0
250.705,0,0,250.705,6.6702,0.0,0.0
251.72,0,0,251.72,6.67035,0.0,0.0
252.735,0,0,252.735,6.6705,0.0,0.0
253.75,0,0,253.75,6.671,0.0,0.0
254.765,0,0,254.765,6.67115,0.0,0.0
255.78,0,0,255.78,6.6713000000000005,0.0,0.0
256.795,0,0,256.795,6.67145,0.0,0.0
257.81,0,0,257.81,6.6716,0.0,0.0
258.825,0,0,258.825,6.6717,0.0,0.0
259.84,0,0,259.84,6.672,0.0,0.0
260.855,0,0,260.855,6.672,0.0,0.0
261.86999999999995,0,0,261.86999999999995,6.6723,0.0,0.0
262.885,0,0,262.885,6.6725,0.0,0.0
263.9,0,0,263.9,6.6728,0.0,0.0
264.915,0,0,264.915,6.6731,0.0,0.0
265.92999999999995,0,0,265.92999999999995,6.673299999999999,0.0,0.0
266.945,0,0,266.945,6.6735,0.0,0.0
267.96,0,0,267.96,6.6737,0.0,0.0
268.975,0,0,268.975,6.674,0.0,0.0
269.98999999999995,0,0,269.98999999999995,6.6743,0.0,0.0
271.005,0,0,271.005,6.674533333333333,0.0,0.0
272.02,0,0,272.02,6.674766666666667,0.0,0.0
273.035,0,0,273.035,6.675,0.0,0.0
274.04999999999995,0,0,274.04999999999995,6.67515,0.0,0.0
275.065,0,0,275.065,6.6753,0.0,0.0
276.08,0,0,276.08,6.67545,0.0,0.0
277.095,0,0,277.095,6.6756,0.0,0.0
278.11,0,0,278.11,6.6759,0.0,0.0
279.125,0,0,279.125,6.6762,0.0,0.0
280.14,0,0,280.14,6.6765,0.0,0.0
281.155,0,0,281.155,6.67675,0.0,0.0
282.17,0,0,282.17,6.677,0.0,0.0
283.18499999999995,0,0,283.18499999999995,6.6773,0.0,0.0
284.2,0,0,284.2,6.6776,0.0,0.0
285.215,0,0,285.215,6.67785,0.0,0.0
286.23,0,0,286.23,6.678100000000001,0.0,0.0
287.24499999999995,0,0,287.24499999999995,6.67835,0.0,0.0
288.26,0,0,288.26,6.6786,0.0,0.0
289.275,0,0,289.275,6.678850000000001,0.0,0.0
290.29,0,0,290.29,6.6791,0.0,0.0
291.30499999999995,0,0,291.30499999999995,6.6794,0.0,0.0
292.32,0,0,292.32,6.679600000000001,0.0,0.0
293.335,0,0,293.335,6.6798,0.0,0.0
294.35,0,0,294.35,6.68005,0.0,0.0
295.36499999999995,0,0,295.36499999999995,6.6803,0.0,0.0
296.38,0,0,296.38,6.68045,0.0,0.0
297.395,0,0,297.395,6.6806,0.0,0.0
298.41,0,0,298.41,6.6808,0.0,0.0
299.42499999999995,0,0,299.42499999999995,6.681,0.0,0.0
300.44,0,0,300.44,6.6812,0.0,0.0
